,Bairro,CEP,CNES,CNPJ,CPF,Complemento,Data Expedição,Dependência,Gestão,Logradouro,Município,Nome,Nome Empresarial,Número,Número Alvará,Orgão Expedidor,Personalidade,Sub Tipo Estabelecimento,Telefone,Tipo Estabelecimento,UF,_id
606db7810e63c04ab21bca5d,FRAGATA,17519010,7399723, 59990960000199,--,--,20/11/2013,INDIVIDUAL,MUNICIPAL,RUA MARREY JUNIOR,MARILIA - IBGE - 352900,A C C ASSOCIACAO DE COMBATE AO CANCER DE MARILIA E REGIAO,A C C ASSOCIACAO DE COMBATE AO CANCER DE MARILIA E REGIAO,101,35290050186300167614,SMS,JURÍDICA,--,14 - 3454-2272,CONSULTORIO ISOLADO,SP,606db7810e63c04ab21bca5d
606db7820e63c04ab21bca5e,CENTRO,17500022,2046865, 02419057000155,--,--,16/08/2000,INDIVIDUAL,MUNICIPAL,AVN SAMPAIO VIDAL,MARILIA - IBGE - 352900,A C M ANALISES CLINICAS MARILIA,LABORATORIO RIO NEGRO CENTER DE MARILIA LTDA EPP,1203,0100179,SMS,JURÍDICA,--,14-34333279,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),SP,606db7820e63c04ab21bca5e
606db7c31b184fc111e14c0b,MARIA IZABEL,17515410,7028776, 14006426000167,--,SALA 2,28/11/2011,INDIVIDUAL,MUNICIPAL,RUA SANTA HELENA,MARILIA - IBGE - 352900,A G DE SOUZA BASTOS CIA LTDA,A G DE SOUZA BASTOS CIA LTDA,12,352900501-863-001445-1-7,SMS,JURÍDICA,--,14 3454-0429,CONSULTORIO ISOLADO,SP,606db7c31b184fc111e14c0b
606db7c41b184fc111e14c0c,JD TANGARA,17516020,9314601, 28833417000154,--,--,12/07/2017,INDIVIDUAL,MUNICIPAL,RUA SILVIO MARINHO,MARILIA - IBGE - 352900,A M MEDICAL,A M MEDICAL LTDA EPP,47,35290050186300219312,SMS,JURÍDICA,--,14-997400646,CONSULTORIO ISOLADO,SP,606db7c41b184fc111e14c0c
606db7c51b184fc111e14c0d,RODOLFO SILVA COSTA,17501190,3732762, 06304946000128,--,--,08/08/2005,INDIVIDUAL,MUNICIPAL,AV FEIJO,MARILIA - IBGE - 352900,ACQUAFISIO CLINICA FISIOTERAPIA REABILIT HIDROTERAPIA,ACQUAFISIO CLINICA FISIOTERAPIA REABILIT HIDROTERAPIA LTDA,108,352900501-851-000976-1-7,SMS,JURÍDICA,--,14-34324147,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),SP,606db7c51b184fc111e14c0d
606db7c61b184fc111e14c0e,FRAGARA,17501210,3739392,--,--,--,02/06/2005,INDIVIDUAL,MUNICIPAL,RUA ATILIO GOMES DE MELO,MARILIA - IBGE - 352900,ADALBERTO DE OLIVEIRA CANTU,ADALBERTO DE OLIVEIRA CANTU,92,352900501-851-000027-1-4,SMS,FÍSICA,--,14-34338580,CONSULTORIO ISOLADO,SP,606db7c61b184fc111e14c0e
606db7c71b184fc111e14c0f,CASCATA,17501190,3698335,--,--,--,05/12/2005,INDIVIDUAL,MUNICIPAL,RUA GOIAS,MARILIA - IBGE - 352900,ADRIANA MARIA BUFO,ADRIANA MARIA BUFO,315,35290050185100042102,SMS,FÍSICA,--,14-34332881,CONSULTORIO ISOLADO,SP,606db7c71b184fc111e14c0f
606db7c81b184fc111e14c10,CENTRO,17509210,7039255, 14657374000199,--,SALA 10,22/03/2012,INDIVIDUAL,MUNICIPAL,AVENIDA IPIRANGA,MARILIA - IBGE - 352900,ALIANCA CLINICA MEDICA,ALIANCA CLINICA MEDICA ASSOCIADOS LTDA,25,35290050186500031216,SMS,JURÍDICA,--,14 - 34139386,CONSULTORIO ISOLADO,SP,606db7c81b184fc111e14c10
606db7c91b184fc111e14c11,BARBOSA,17501110,3735001,--,--,--,21/12/2005,INDIVIDUAL,MUNICIPAL,RUA MARECHAL DEODORO,MARILIA - IBGE - 352900,AMAURI PEREIRA DE OLIVEIRA,AMAURI PEREIRA DE OLIVEIRA,316,352900501-851-001451-1-4,SMS,FÍSICA,--,14-34223366,CONSULTORIO ISOLADO,SP,606db7c91b184fc111e14c11
606db7ca1b184fc111e14c12,BARBOSA,17501441,3672131,--,--,A,29/08/2005,INDIVIDUAL,MUNICIPAL,AV SAMPAIO VIDAL,MARILIA - IBGE - 352900,AMAURI PORTO NUNES,AMAURI PORTO NUNES,35,352900501-851-001223-1-9,SMS,FÍSICA,--,(14)34134540,CONSULTORIO ISOLADO,SP,606db7ca1b184fc111e14c12
606db7cb1b184fc111e14c13,SOMENZARI,17506040,0511269, 39435421000180,--,--,15/01/2021,INDIVIDUAL,MUNICIPAL,SANTO ANTONIO,MARILIA - IBGE - 352900,AME ODONTOLOGIA,AME ODONTOLOGIA LTDA,1806,35290050186300266914,SMS,JURÍDICA,--,14 34332249,CONSULTORIO ISOLADO,SP,606db7cb1b184fc111e14c13
606db7cc1b184fc111e14c14,BARBOSA,17501442,9139885, 29765778000173,--,SALA 3,23/08/2018,INDIVIDUAL,MUNICIPAL,RUA FLORIANO PEIXOTO,MARILIA - IBGE - 352900,AMPLIAR TERAPIA ABA,CINTIA GISELI DA SILVA PSICOLOGIA,144,352900501-865-00065315,SMS,JURÍDICA,--,(14) 3422-2769,CONSULTORIO ISOLADO,SP,606db7cc1b184fc111e14c14
606db7cd1b184fc111e14c15,CASCATA,17515000,3672255,--,--,--,05/01/2005,INDIVIDUAL,MUNICIPAL,AV VICENTE FERREIRA,MARILIA - IBGE - 352900,ANDREA BRONHARA PELA CALAMITA,ANDREA BRONHARA PELA CALAMITA,648,352900501-851-001057-1-6,SMS,FÍSICA,--,--,CONSULTORIO ISOLADO,SP,606db7cd1b184fc111e14c15
606db7cd1b184fc111e14c16,BARBOSA,17501190,3691063,--,--,--,06/06/2005,INDIVIDUAL,MUNICIPAL,AV FEIJO,MARILIA - IBGE - 352900,ANGELO AMERICO CAPELOZZA,ANGELO AMERICO CAPELOZZA,263,352900501-851-000246-1-9,SMS,FÍSICA,--,14-34337203,CONSULTORIO ISOLADO,SP,606db7cd1b184fc111e14c16
606db7ce1b184fc111e14c17,CENTRO,17502010,5171113,--,--,--,09/06/2006,INDIVIDUAL,MUNICIPAL,RUA CORONEL JOSE BRAS,MARILIA - IBGE - 352900,ANGIOCLINICA FREIRE,MAURICIO MOREIRA FREIRE,1230,352900501-851-000411-1-4,SMS,FÍSICA,--,14-34330271,CONSULTORIO ISOLADO,SP,606db7ce1b184fc111e14c17
606db7cf1b184fc111e14c18,SALGADO FILHO,17502000,3739287,--,--,--,07/06/2005,INDIVIDUAL,MUNICIPAL,AV RIO BRANCO,MARILIA - IBGE - 352900,ANTONIO BRAOJOS DANTAS,ANTONIO BRAOJOS DANTAS,1383,352900501-851-000343-1-2,SMS,FÍSICA,--,14-34334000,CONSULTORIO ISOLADO,SP,606db7cf1b184fc111e14c18
606db7d01b184fc111e14c19,FRAGATA,17519252,2032066, 52061264000159,--,--,01/02/2019,INDIVIDUAL,MUNICIPAL,RUA RAUL TORRES,MARILIA - IBGE - 352900,APAE DE MARILIA,APAE ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS,70,35290050085300000118,SMS,JURÍDICA,OUTROS,(14)34021400,CLINICA/CENTRO DE ESPECIALIDADE,SP,606db7d01b184fc111e14c19
606db7d11b184fc111e14c1a,JD MARIA ISABEL,17515000,5415942, 04392357000113,--,--,26/03/2007,INDIVIDUAL,MUNICIPAL,AV VICENTE FERREIRA,MARILIA - IBGE - 352900,ARTE VIDA,ARTE VIDA CLINICA DE FISIOTERAPIA E REABILITACAO LTDA,760,352900501-865-000061-1-4,SMS,JURÍDICA,--,14-34531176,CONSULTORIO ISOLADO,SP,606db7d11b184fc111e14c1a
606db7d21b184fc111e14c1b,FRAGATA,17501220,9634223,--,--,--,05/10/2018,INDIVIDUAL,MUNICIPAL,PRACA ATHOS FRAGATA,MARILIA - IBGE - 352900,ATHOS CENTRO PROFISSIONAL,JOAO CARLOS TEIXEIRA LOURO,65,3529005018650067210,SMS,FÍSICA,--,14-99703-0317,CONSULTORIO ISOLADO,SP,606db7d21b184fc111e14c1b
